Name,Distance,Mass,Discovery Date,Stellar Magnitude
11 Comae Berenices b,304,19.4 Jupiters,2007,4.72307
11 Ursae Minoris b,409,14.74 Jupiters,2009,5.013
14 Andromedae b,246,4.8 Jupiters,2008,5.23133
14 Herculis b,58,8.053 Jupiters,2002,6.61935
16 Cygni B b,69,1.78 Jupiters,1996,6.215
17 Scorpii b,408,4.32 Jupiters,2020,5.22606
18 Delphini b,249,10.3 Jupiters,2008,5.51048
1RXS J160929.1-210524 b,454,8 Jupiters,2008,12.618
24 Bootis b,313,0.91 Jupiters,2018,5.59
24 Sextantis b,235,1.99 Jupiters,2010,6.4535
24 Sextantis c,235,0.86 Jupiters,2010,6.4535
2M0437 b,419,4 Jupiters,2021,16.186
2MASS J01033563-5515561 AB b,154,13 Jupiters,2013,15.788
2MASS J01225093-2439505 b,110,24.5 Jupiters,2013,14.244
2MASS J02192210-3925225 b,131,13.9 Jupiters,2015,
2MASS J04414489+2301513 b,393,7.5 Jupiters,2010,
2MASS J12073346-3932539 b,210,5 Jupiters,2004,20.15
2MASS J19383260+4603591 b,1293,1.9 Jupiters,2015,12.651
2MASS J22362452+4751425 b,227,12.5 Jupiters,2016,12.368
30 Arietis B b,146,13.82 Jupiters,2009,7.09209
42 Draconis b,296,3.88 Jupiters,2008,4.8262
47 Ursae Majoris b,45,2.53 Jupiters,1996,5.037
47 Ursae Majoris c,45,0.54 Jupiters,2001,5.037
47 Ursae Majoris d,45,1.64 Jupiters,2009,5.037
4 Ursae Majoris b,240,7.1 Jupiters,2006,4.5801
51 Eridani b,97,2 Jupiters,2015,5.21149
51 Pegasi b,50,0.46 Jupiters,1995,5.45309
55 Cancri b,41,0.8306 Jupiters,1996,5.96
55 Cancri c,41,0.1714 Jupiters,2004,5.96
55 Cancri d,41,3.878 Jupiters,2002,5.96
55 Cancri e,41,7.99 Earths,2004,5.96
55 Cancri f,41,0.141 Jupiters,2007,5.96
61 Virginis b,28,5.1 Earths,2009,4.735
61 Virginis c,28,18.2 Earths,2009,4.735
61 Virginis d,28,22.9 Earths,2009,4.735
6 Lyncis b,178,2.01 Jupiters,2008,5.87307
70 Virginis b,58,7.49 Jupiters,1996,4.96808
75 Ceti b,271,3 Jupiters,2012,5.3532
7 Canis Majoris b,65,1.85 Jupiters,2011,3.95
7 Canis Majoris c,65,0.87 Jupiters,2019,3.95
81 Ceti b,330,5.3 Jupiters,2008,5.64307
8 Ursae Minoris b,530,1.31 Jupiters,2015,6.83295
91 Aquarii b,144,3.2 Jupiters,2013,4.23946
AB Aurigae b,529,9 Jupiters,2022,7.076
AB Pictoris b,163,13.5 Jupiters,2005,9.13
AF Leporis b,88,3.2 Jupiters,2023,6.332
